2025-05-28 00:54:25 - Episode 78, Reward: -587.00, Variance: 1999.6456, Epsilon Home: 0.1711, Epsilon Away: 0.3500, Score: 54-2
2025-05-28 00:54:31 - Episode 79, Reward: -600.00, Variance: 1735.1389, Epsilon Home: 0.1707, Epsilon Away: 0.3500, Score: 70-12
2025-05-28 00:54:37 - Episode 80, Reward: -617.00, Variance: 1647.8489, Epsilon Home: 0.1704, Epsilon Away: 0.3500, Score: 28-6
2025-05-28 00:54:43 - Episode 81, Reward: -528.00, Variance: 1619.1567, Epsilon Home: 0.1701, Epsilon Away: 0.3500, Score: 52-20
2025-05-28 00:54:49 - Episode 82, Reward: -584.00, Variance: 1605.5656, Epsilon Home: 0.1697, Epsilon Away: 0.3500, Score: 50-11
2025-05-28 00:54:55 - Episode 83, Reward: -586.00, Variance: 1592.5067, Epsilon Home: 0.1694, Epsilon Away: 0.3500, Score: 46-23
2025-05-28 00:55:01 - Episode 84, Reward: -586.00, Variance: 1570.3556, Epsilon Home: 0.1690, Epsilon Away: 0.3500, Score: 41-14
2025-05-28 00:55:07 - Episode 85, Reward: -572.00, Variance: 1502.1733, Epsilon Home: 0.1687, Epsilon Away: 0.3500, Score: 72-4
2025-05-28 00:55:13 - Episode 86, Reward: -619.00, Variance: 1359.7156, Epsilon Home: 0.1684, Epsilon Away: 0.3500, Score: 48-11
2025-05-28 00:55:19 - Episode 87, Reward: -621.00, Variance: 1360.1433, Epsilon Home: 0.1680, Epsilon Away: 0.3500, Score: 51-13
2025-05-28 00:55:25 - Episode 88, Reward: -592.00, Variance: 1357.4322, Epsilon Home: 0.1677, Epsilon Away: 0.3500, Score: 94-5
2025-05-28 00:55:31 - Episode 89, Reward: -553.00, Variance: 1335.0322, Epsilon Home: 0.1674, Epsilon Away: 0.3500, Score: 30-25
2025-05-28 00:55:37 - Episode 90, Reward: -588.00, Variance: 1276.0722, Epsilon Home: 0.1670, Epsilon Away: 0.3500, Score: 48-0
2025-05-28 00:55:43 - Episode 91, Reward: -567.00, Variance: 1267.6100, Epsilon Home: 0.1667, Epsilon Away: 0.3500, Score: 40-11
2025-05-28 00:55:49 - Episode 92, Reward: -608.00, Variance: 1267.1822, Epsilon Home: 0.1664, Epsilon Away: 0.3500, Score: 54-4
2025-05-28 00:55:55 - Episode 93, Reward: -602.00, Variance: 1269.7733, Epsilon Home: 0.1660, Epsilon Away: 0.3500, Score: 38-13
