2025-05-26 21:05:26 - Episode 96/20000, Reward: -404.00, Epsilon Home: 0.0927, Epsilon Away: 0.2163, Score: 36-13
2025-05-26 21:05:32 - Episode 97/20000, Reward: -412.00, Epsilon Home: 0.0922, Epsilon Away: 0.2152, Score: 47-9
2025-05-26 21:05:38 - Episode 98/20000, Reward: -452.00, Epsilon Home: 0.0918, Epsilon Away: 0.2142, Score: 41-17
2025-05-26 21:05:44 - Episode 99/20000, Reward: -466.00, Epsilon Home: 0.0913, Epsilon Away: 0.2131, Score: 56-19
2025-05-26 21:05:50 - Episode 100/20000, Reward: -510.00, Epsilon Home: 0.0909, Epsilon Away: 0.2120, Score: 35-9
2025-05-26 21:05:57 - Episode 101/20000, Reward: -397.00, Epsilon Home: 0.0904, Epsilon Away: 0.2110, Score: 19-9
2025-05-26 21:06:03 - Episode 102/20000, Reward: -356.00, Epsilon Home: 0.0900, Epsilon Away: 0.2099, Score: 14-11
2025-05-26 21:06:09 - Episode 103/20000, Reward: -355.00, Epsilon Home: 0.0895, Epsilon Away: 0.2089, Score: 25-8
2025-05-26 21:06:15 - Episode 104/20000, Reward: -342.00, Epsilon Home: 0.0891, Epsilon Away: 0.2078, Score: 27-7
2025-05-26 21:06:22 - Episode 105/20000, Reward: -343.00, Epsilon Home: 0.0886, Epsilon Away: 0.2068, Score: 21-18
2025-05-26 21:06:28 - Episode 106/20000, Reward: -416.00, Epsilon Home: 0.0882, Epsilon Away: 0.2057, Score: 32-8
2025-05-26 21:06:34 - Episode 107/20000, Reward: -354.00, Epsilon Home: 0.0877, Epsilon Away: 0.2047, Score: 27-18
2025-05-26 21:06:40 - Episode 108/20000, Reward: -407.00, Epsilon Home: 0.0873, Epsilon Away: 0.2037, Score: 37-9
2025-05-26 21:06:46 - Episode 109/20000, Reward: -383.00, Epsilon Home: 0.0869, Epsilon Away: 0.2027, Score: 33-5
2025-05-26 21:06:53 - Episode 110/20000, Reward: -375.00, Epsilon Home: 0.0864, Epsilon Away: 0.2017, Score: 17-9
2025-05-26 21:06:59 - Episode 111/20000, Reward: -353.00, Epsilon Home: 0.0860, Epsilon Away: 0.2006, Score: 20-18
2025-05-26 21:07:05 - Episode 112/20000, Reward: -385.00, Epsilon Home: 0.0856, Epsilon Away: 0.1996, Score: 29-0
2025-05-26 21:07:11 - Episode 113/20000, Reward: -355.00, Epsilon Home: 0.0851, Epsilon Away: 0.1986, Score: 16-4
2025-05-26 21:07:18 - Episode 114/20000, Reward: -295.00, Epsilon Home: 0.0847, Epsilon Away: 0.1977, Score: 21-9
2025-05-26 21:07:24 - Episode 115/20000, Reward: -389.00, Epsilon Home: 0.0843, Epsilon Away: 0.1967, Score: 29-9
2025-05-26 21:07:30 - Episode 116/20000, Reward: -402.00, Epsilon Home: 0.0839, Epsilon Away: 0.1957, Score: 25-15
2025-05-26 21:07:36 - Episode 117/20000, Reward: -392.00, Epsilon Home: 0.0834, Epsilon Away: 0.1947, Score: 55-7
2025-05-26 21:07:42 - Episode 118/20000, Reward: -426.00, Epsilon Home: 0.0830, Epsilon Away: 0.1937, Score: 24-11
2025-05-26 21:07:49 - Episode 119/20000, Reward: -398.00, Epsilon Home: 0.0826, Epsilon Away: 0.1928, Score: 39-10
2025-05-26 21:07:55 - Episode 120/20000, Reward: -409.00, Epsilon Home: 0.0822, Epsilon Away: 0.1918, Score: 18-34
2025-05-26 21:08:01 - Episode 121/20000, Reward: -401.00, Epsilon Home: 0.0818, Epsilon Away: 0.1908, Score: 33-13
2025-05-26 21:08:08 - Episode 122/20000, Reward: -326.00, Epsilon Home: 0.0814, Epsilon Away: 0.1899, Score: 10-6
2025-05-26 21:08:14 - Episode 123/20000, Reward: -305.00, Epsilon Home: 0.0810, Epsilon Away: 0.1889, Score: 23-4
2025-05-26 21:08:20 - Episode 124/20000, Reward: -313.00, Epsilon Home: 0.0806, Epsilon Away: 0.1880, Score: 24-3
2025-05-26 21:08:26 - Episode 125/20000, Reward: -337.00, Epsilon Home: 0.0802, Epsilon Away: 0.1870, Score: 23-7
2025-05-26 21:08:33 - Episode 126/20000, Reward: -301.00, Epsilon Home: 0.0798, Epsilon Away: 0.1861, Score: 12-12
2025-05-26 21:08:39 - Episode 127/20000, Reward: -312.00, Epsilon Home: 0.0794, Epsilon Away: 0.1852, Score: 27-12
2025-05-26 21:08:45 - Episode 128/20000, Reward: -274.00, Epsilon Home: 0.0790, Epsilon Away: 0.1843, Score: 35-5
2025-05-26 21:08:51 - Episode 129/20000, Reward: -354.00, Epsilon Home: 0.0786, Epsilon Away: 0.1833, Score: 30-3
2025-05-26 21:08:58 - Episode 130/20000, Reward: -262.00, Epsilon Home: 0.0782, Epsilon Away: 0.1824, Score: 24-5
2025-05-26 21:09:04 - Episode 131/20000, Reward: -310.00, Epsilon Home: 0.0778, Epsilon Away: 0.1815, Score: 33-17
2025-05-26 21:09:10 - Episode 132/20000, Reward: -333.00, Epsilon Home: 0.0774, Epsilon Away: 0.1806, Score: 41-2
2025-05-26 21:09:16 - Episode 133/20000, Reward: -383.00, Epsilon Home: 0.0770, Epsilon Away: 0.1797, Score: 30-6
2025-05-26 21:09:23 - Episode 134/20000, Reward: -339.00, Epsilon Home: 0.0766, Epsilon Away: 0.1788, Score: 30-4
2025-05-26 21:09:29 - Episode 135/20000, Reward: -246.00, Epsilon Home: 0.0762, Epsilon Away: 0.1779, Score: 8-6
2025-05-26 21:09:35 - Episode 136/20000, Reward: -236.00, Epsilon Home: 0.0759, Epsilon Away: 0.1770, Score: 23-7
2025-05-26 21:09:42 - Episode 137/20000, Reward: -304.00, Epsilon Home: 0.0755, Epsilon Away: 0.1761, Score: 16-6
2025-05-26 21:09:48 - Episode 138/20000, Reward: -410.00, Epsilon Home: 0.0751, Epsilon Away: 0.1752, Score: 38-14
2025-05-26 21:09:54 - Episode 139/20000, Reward: -277.00, Epsilon Home: 0.0747, Epsilon Away: 0.1744, Score: 21-7
2025-05-26 21:10:00 - Episode 140/20000, Reward: -284.00, Epsilon Home: 0.0744, Epsilon Away: 0.1735, Score: 27-7
2025-05-26 21:10:07 - Episode 141/20000, Reward: -301.00, Epsilon Home: 0.0740, Epsilon Away: 0.1726, Score: 10-23
2025-05-26 21:10:13 - Episode 142/20000, Reward: -283.00, Epsilon Home: 0.0736, Epsilon Away: 0.1718, Score: 32-16
2025-05-26 21:10:20 - Episode 143/20000, Reward: -309.00, Epsilon Home: 0.0732, Epsilon Away: 0.1709, Score: 12-11
2025-05-26 21:10:26 - Episode 144/20000, Reward: -285.00, Epsilon Home: 0.0729, Epsilon Away: 0.1701, Score: 21-14
2025-05-26 21:10:32 - Episode 145/20000, Reward: -302.00, Epsilon Home: 0.0725, Epsilon Away: 0.1692, Score: 20-6
2025-05-26 21:10:38 - Episode 146/20000, Reward: -273.00, Epsilon Home: 0.0722, Epsilon Away: 0.1684, Score: 11-7
2025-05-26 21:10:45 - Episode 147/20000, Reward: -312.00, Epsilon Home: 0.0718, Epsilon Away: 0.1675, Score: 16-15
2025-05-26 21:10:51 - Episode 148/20000, Reward: -301.00, Epsilon Home: 0.0714, Epsilon Away: 0.1667, Score: 17-9
2025-05-26 21:10:57 - Episode 149/20000, Reward: -286.00, Epsilon Home: 0.0711, Epsilon Away: 0.1658, Score: 20-11
2025-05-26 21:11:04 - Episode 150/20000, Reward: -270.00, Epsilon Home: 0.0707, Epsilon Away: 0.1650, Score: 14-6
2025-05-26 21:11:10 - Episode 151/20000, Reward: -245.00, Epsilon Home: 0.0704, Epsilon Away: 0.1642, Score: 26-2
2025-05-26 21:11:16 - Episode 152/20000, Reward: -261.00, Epsilon Home: 0.0700, Epsilon Away: 0.1634, Score: 17-9
2025-05-26 21:11:22 - Episode 153/20000, Reward: -279.00, Epsilon Home: 0.0697, Epsilon Away: 0.1626, Score: 25-4
2025-05-26 21:11:29 - Episode 154/20000, Reward: -270.00, Epsilon Home: 0.0693, Epsilon Away: 0.1617, Score: 22-9
2025-05-26 21:11:35 - Episode 155/20000, Reward: -243.00, Epsilon Home: 0.0690, Epsilon Away: 0.1609, Score: 11-6
2025-05-26 21:11:41 - Episode 156/20000, Reward: -332.00, Epsilon Home: 0.0686, Epsilon Away: 0.1601, Score: 31-3
2025-05-26 21:11:48 - Episode 157/20000, Reward: -272.00, Epsilon Home: 0.0683, Epsilon Away: 0.1593, Score: 14-5
2025-05-26 21:11:54 - Episode 158/20000, Reward: -265.00, Epsilon Home: 0.0679, Epsilon Away: 0.1585, Score: 30-27
2025-05-26 21:12:00 - Episode 159/20000, Reward: -385.00, Epsilon Home: 0.0676, Epsilon Away: 0.1577, Score: 27-14
2025-05-26 21:12:07 - Episode 160/20000, Reward: -359.00, Epsilon Home: 0.0673, Epsilon Away: 0.1569, Score: 22-8
2025-05-26 21:12:13 - Episode 161/20000, Reward: -249.00, Epsilon Home: 0.0669, Epsilon Away: 0.1562, Score: 4-8
